TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
F:\StreamingTool-2.7.3-x86.exe,https://www.douyin.com/falcon/webcast_openpc/pages/streamingtool_download/index.html,257733008,2022-04-16T04:06:12.708996+08:00,2022-04-16T04:06:27.333185+08:00,application/x-msdos-program
F:\StreamingTool-2.6.1-x86.exe,https://www.douyin.com/falcon/webcast_openpc/pages/streamingtool_download/index.html,254718312,2022-03-30T05:11:15.17372+08:00,2022-03-30T05:11:28.956281+08:00,application/x-msdos-program
F:\ludashisetup2020.exe,https://cdn-file-ssl-pc.ludashi.com/pc/appstore/ludashi/ludashisetup2020.exe?_ver=2022022622,155447864,2022-02-26T14:30:36.697537+08:00,2022-02-26T14:31:57.109406+08:00,application/octet-stream
F:\MCLauncher_publish_1.8.0.35383.exe,https://mc.163.com/,123316280,2022-05-04T09:02:59.939271+08:00,2022-05-04T09:03:11.992024+08:00,application/x-msdos-program
F:\DiscordSetup.exe,https://discord.com/,82992808,2022-04-16T03:58:52.305066+08:00,2022-04-16T03:58:58.744193+08:00,application/x-msdownload
F:\轻语4-24版本.zip,http://qingyul.uupan.net/,19010329,2022-04-26T19:44:42.491378+08:00,2022-04-26T19:44:47.315753+08:00,application/download
F:\轻语4-24版本.zip,http://qingyul.uupan.net/,19010329,2022-04-26T19:44:21.378661+08:00,1601-01-01T00:00:00+08:00,application/download
F:\饥饿恐惧4.1mp.zip,https://developer.lanzoug.com/file/?BWMCPAk4VWQCC1RsBjMAbAE+UGhU4lD3VfdVulKrAL4H4QHXCscBswjdU6JXN1B/UjkOZlF+BytXKlc4V3tUcwVjAjwJOFVkAgtUawY2ADwBbVBiVDlQalVhVWFSPQA2ByEBMAokAWgIb1M0VzVQZ1I5DjhRNgcxV3ZXIVd7VGgFNwJlCWZVMwJ7VDIGZgAuAWpQZFQkUDNVYFU2UjwAYwcyAWIKNgFsCDtTMFdmUGZSMQ5vUWgHM1dkV2RXblRmBWMCbQlkVTkCZFQ1BjAAOAE9UGNUOFB8VShVOlJ+ACcHcgElCjIBJwg3U2FXPlBpUjgOMlE7BzJXYFd3V39UPAVoAjAJMlU8AmVUNAZmADgBbFBsVD1QZVViVWJSIAAvByEBMAo7ASIIY1M0VzVQZVIxDjxRNwc2V2JXZlc9VHMFcAIlCSNVPAJlVDQGZgA4AW1QYlQ9UGRVZVVjUigAdAduASYKagFkCGlTNFctUGVSOg4lUTwHMFdlV39XOlRsBTU=,11661384,2022-04-12T20:35:03.052636+08:00,2022-04-12T20:35:04.056884+08:00,application/octet-stream
F:\8T0A7aWmO54c.exe,https://gamesense.pub/forums/profile.php?section=premium&id=6183,7838720,2022-02-26T14:22:55.974736+08:00,2022-02-26T14:23:05.212927+08:00,application/x-dosexec
F:\VKJlF9kMyRcB.exe,https://gamesense.pub/forums/profile.php?section=premium&id=6183,7838720,2022-02-26T14:24:19.30383+08:00,2022-02-26T14:24:31.405413+08:00,application/x-dosexec
